N,P,K,temperature,humidity,ph,rainfall,label
58.62,23.63,57.74,30.83,41.88,6.53,53.01,cotton
33.62,57.83,34.86,20.86,55.98,5.34,93.05,beans
86.82,54.57,97.89,19.03,72.43,5.93,65.06,potato
102.58,38.97,62.01,14.7,78.97,6.24,73.09,cabbage
106.12,44.67,76.29,18.7,66.28,6.2,55.16,cabbage
43.42,52.57,23.0,19.24,61.05,6.0,105.6,beans
98.93,45.15,102.53,20.3,69.98,5.85,60.65,potato
75.06,38.61,34.3,26.44,82.47,6.23,207.58,rice
98.92,41.88,38.21,27.53,58.56,6.63,41.8,maize
99.56,33.45,41.32,26.92,77.11,6.25,207.02,rice
74.37,33.42,52.29,25.16,71.85,6.26,86.82,maize
65.41,55.48,54.15,22.99,57.35,6.37,78.39,tomato
64.99,52.01,78.19,14.99,82.27,6.64,50.07,cabbage
80.11,39.88,38.76,25.75,64.24,5.86,84.95,maize
43.23,56.07,36.43,17.89,68.6,5.58,92.1,beans
52.96,70.63,45.73,17.59,72.79,5.79,96.79,beans
83.89,71.58,99.69,17.03,72.86,5.69,92.39,potato
84.45,52.86,54.7,24.94,73.77,5.92,98.96,maize
69.18,69.28,61.31,23.93,48.14,6.43,60.24,tomato
97.81,37.59,34.43,29.2,54.36,6.47,97.27,maize
45.3,55.94,57.13,14.94,77.72,5.79,79.99,beans
85.68,42.7,37.75,27.75,80.17,6.32,180.26,rice
46.03,63.7,47.64,19.96,79.39,5.77,53.05,beans
84.98,58.18,55.93,29.73,69.34,6.41,61.35,tomato
83.92,47.53,72.24,19.48,71.07,6.53,61.48,cabbage
94.25,34.64,53.37,29.16,83.22,6.24,211.15,rice
86.24,63.63,109.24,14.33,79.35,5.77,70.55,potato
101.97,56.13,69.05,19.46,78.36,6.23,66.64,cabbage
90.38,44.72,87.87,18.72,85.61,6.37,94.58,potato
85.12,46.43,29.39,19.4,60.43,6.77,88.64,maize
87.79,44.72,59.53,18.04,93.22,6.29,75.87,cabbage
67.14,66.69,63.11,29.18,67.82,6.28,46.0,tomato
84.69,63.6,109.0,17.23,67.51,4.98,52.81,potato
106.62,53.47,71.32,12.41,80.05,6.39,66.49,cabbage
75.66,52.24,120.73,19.03,69.99,6.59,79.06,potato
92.31,40.2,66.68,14.77,85.06,6.97,62.99,cabbage
89.68,71.49,80.6,21.29,80.12,6.03,67.78,potato
91.71,51.71,38.04,28.85,67.43,6.76,73.87,maize
54.88,52.71,46.68,24.07,68.28,6.49,47.09,beans
105.82,54.66,63.06,14.87,79.13,6.91,71.03,cabbage
85.98,36.71,39.25,25.91,53.3,6.08,78.45,maize
103.28,24.67,43.89,29.92,80.4,5.93,197.48,rice
45.26,67.37,55.5,20.59,84.0,5.36,112.56,beans
84.87,52.45,43.48,22.23,55.73,6.78,104.28,maize
105.44,43.86,70.54,12.87,76.97,6.29,63.32,cabbage
56.71,17.1,61.44,28.66,54.77,6.96,22.2,cotton
59.36,31.19,52.19,24.7,43.66,6.96,49.45,cotton
100.3,41.01,63.24,27.47,48.94,6.56,56.29,maize
85.42,54.54,108.48,19.91,73.37,6.42,68.12,potato
64.03,37.57,42.74,25.47,59.03,6.65,62.79,cotton
82.13,52.03,78.37,22.3,62.31,6.79,92.27,tomato
66.59,31.5,43.43,28.72,59.0,6.23,84.93,maize
71.35,70.82,101.38,22.18,77.83,5.88,64.87,potato
83.16,48.65,39.55,23.84,83.06,6.29,201.16,rice
90.46,58.76,100.81,17.33,60.32,5.62,52.14,potato
107.43,50.7,80.22,19.01,78.82,6.14,69.83,cabbage
89.4,31.18,38.69,23.69,56.34,5.82,72.22,maize
99.09,42.74,38.14,28.05,91.41,6.34,194.2,rice
105.86,48.43,62.56,21.5,81.75,7.05,39.46,cabbage
71.77,59.13,74.27,24.24,62.81,6.16,56.1,tomato
55.92,34.56,44.45,26.36,68.75,6.93,39.79,cotton
97.51,43.75,38.93,19.26,54.77,6.3,77.72,maize
95.49,44.4,31.41,26.0,86.35,6.01,192.95,rice
107.94,43.87,38.7,23.8,70.62,6.37,106.25,maize
47.99,57.98,39.68,21.67,69.62,5.77,79.29,beans
33.75,22.21,45.02,24.53,57.43,7.19,60.38,cotton
82.01,50.08,41.41,29.23,66.56,6.09,84.12,maize
107.02,36.45,36.05,26.53,73.97,6.05,155.33,rice
84.03,38.71,45.68,29.01,75.86,5.58,223.12,rice
82.06,48.57,37.87,26.54,62.63,5.82,90.64,maize
56.83,60.1,60.31,26.6,68.88,6.33,59.3,tomato
89.55,42.05,74.22,16.05,85.33,6.31,76.53,cabbage
79.2,43.88,32.77,28.47,84.04,6.0,195.03,rice
75.49,46.25,51.76,30.19,66.64,6.46,37.12,cotton
67.55,45.0,69.48,22.68,76.63,6.69,54.98,tomato
73.86,43.16,18.37,26.34,73.99,6.81,178.48,rice
95.16,43.68,74.96,17.47,84.13,6.74,54.8,cabbage
37.0,46.13,44.16,20.71,66.17,5.73,84.93,beans
36.66,36.67,42.28,25.17,52.94,6.98,49.29,cotton
68.39,32.9,55.95,26.72,63.42,6.55,55.44,cotton
71.03,67.63,101.13,10.27,57.2,5.34,70.58,potato
101.55,42.27,40.52,30.3,96.96,6.11,176.59,rice
96.8,43.71,70.56,19.81,83.27,6.74,57.09,cabbage
94.11,51.74,92.07,14.97,69.78,5.43,110.48,potato
87.71,42.05,66.48,18.7,77.93,6.01,86.53,cabbage
66.63,57.23,41.38,25.96,65.02,6.2,69.84,tomato
98.94,35.52,79.37,17.73,86.76,6.31,64.31,cabbage
44.75,57.97,40.25,24.55,73.62,5.46,97.29,beans
68.33,68.45,66.67,12.05,70.42,5.77,89.87,tomato
60.36,53.38,57.79,20.77,68.29,6.28,78.56,tomato
94.43,37.4,45.15,24.79,58.36,6.08,74.93,maize
52.68,54.57,44.57,26.94,50.91,6.61,43.74,cotton
60.86,38.17,42.9,24.57,66.12,6.83,65.83,cotton
89.94,62.92,91.67,21.73,71.82,5.99,73.35,potato
71.77,61.13,131.62,13.23,61.86,5.65,48.13,potato
69.82,52.61,60.36,24.34,67.53,6.32,62.71,tomato
80.83,50.44,35.33,24.24,71.78,5.74,190.63,rice
90.53,59.39,48.38,24.67,61.68,6.64,58.0,tomato
72.51,27.94,42.52,27.51,54.57,5.91,126.43,maize
73.52,25.3,46.36,25.38,51.96,7.36,56.75,cotton
56.95,40.3,41.73,29.58,59.86,7.25,37.78,cotton
58.22,26.19,55.5,24.67,59.61,7.12,37.96,cotton
77.91,46.25,46.58,21.55,60.7,6.42,80.93,tomato
84.4,52.4,94.36,17.69,72.21,6.22,66.98,potato
72.87,41.11,48.41,27.48,81.63,5.23,214.76,rice
58.87,61.14,62.44,19.17,65.97,5.94,72.23,tomato
59.01,29.91,59.57,25.81,54.25,7.4,61.11,cotton
64.77,60.12,52.93,25.82,64.96,6.51,104.22,tomato
91.33,36.04,55.03,29.19,74.46,6.34,157.29,rice
93.0,49.78,84.01,17.46,80.58,6.65,54.71,cabbage
68.66,35.54,48.65,24.88,63.98,7.47,30.57,cotton
79.12,59.49,106.01,13.78,72.44,5.44,61.59,potato
88.48,63.01,63.96,22.05,55.12,6.74,92.98,tomato
60.86,70.29,105.59,17.19,71.47,6.16,73.06,potato
118.9,54.25,76.77,17.84,83.4,6.49,66.66,cabbage
109.24,48.62,76.01,16.14,75.68,6.84,52.96,cabbage
76.79,59.55,79.18,15.74,78.17,5.78,68.44,potato
62.0,56.86,114.23,15.45,79.13,5.57,67.56,potato
59.01,73.12,88.67,22.53,82.61,5.01,84.93,potato
86.4,54.4,95.28,20.29,76.96,6.4,83.23,potato
82.52,57.04,59.42,24.43,70.59,6.19,76.16,tomato
100.76,43.54,39.81,22.72,86.3,5.91,158.33,rice
91.53,34.42,41.47,21.71,54.05,6.63,94.07,maize
48.51,45.46,67.59,30.03,64.68,6.9,55.99,cotton
43.01,65.21,35.8,22.83,67.92,6.34,98.79,beans
92.97,41.02,82.59,18.83,72.84,6.34,74.78,cabbage
79.61,53.53,31.5,20.48,59.45,5.98,94.83,maize
34.6,58.37,40.02,21.65,66.08,5.75,74.61,beans
121.81,31.93,25.13,27.18,85.35,5.31,209.93,rice
46.37,47.16,48.68,18.9,70.19,5.42,91.6,beans
75.13,69.66,95.55,15.39,70.33,5.49,76.09,potato
89.64,51.04,79.11,18.27,84.62,6.04,63.93,cabbage
99.01,41.61,36.71,23.71,68.0,6.98,94.95,maize
105.23,67.71,74.68,16.88,71.36,6.97,69.83,cabbage
88.42,41.21,35.91,27.04,87.11,6.0,232.48,rice
100.46,47.51,60.14,24.2,59.06,5.47,66.47,maize
20.15,74.9,38.52,16.21,59.43,6.25,43.32,beans
100.54,51.72,39.96,23.12,72.83,6.64,65.11,maize
67.78,63.21,34.98,18.75,76.56,5.66,67.43,tomato
102.73,51.93,104.7,16.5,64.03,5.31,68.53,potato
62.96,37.81,39.15,25.07,59.32,6.45,62.12,cotton
56.25,37.59,51.88,25.04,58.01,6.38,77.93,cotton
91.79,71.19,104.62,17.35,70.23,5.62,59.03,potato
74.56,49.76,118.05,11.47,59.85,6.2,62.16,potato
112.32,64.22,52.86,15.21,75.11,6.43,44.24,cabbage
50.63,43.03,54.96,27.76,75.52,6.42,55.03,tomato
22.97,58.68,26.92,16.56,61.91,5.48,87.46,beans
61.69,65.24,42.48,19.35,51.1,6.12,105.66,beans
59.37,22.24,58.09,24.55,58.28,6.48,67.66,cotton
76.15,61.22,60.31,27.31,70.36,6.87,65.26,tomato
73.19,62.45,51.06,28.65,56.83,6.61,99.41,tomato
48.16,34.47,49.75,28.05,81.17,6.82,44.72,cotton
98.06,48.7,27.87,29.88,83.85,5.46,198.37,rice
124.01,52.36,80.68,13.54,77.09,6.68,59.97,cabbage
88.63,56.71,44.3,23.0,66.08,5.89,116.72,maize
88.4,55.89,97.18,22.77,84.65,6.22,55.15,potato
40.48,59.81,52.91,15.87,53.06,5.79,64.17,beans
41.83,70.94,43.31,21.13,59.88,6.45,85.22,beans
23.32,71.82,49.51,19.34,56.2,5.75,80.2,beans
42.34,77.83,28.14,20.96,60.69,5.46,76.24,beans
86.14,53.47,112.47,17.83,63.1,5.89,46.12,potato
83.81,60.95,85.63,13.86,48.08,5.81,76.23,potato
45.94,60.22,46.06,16.8,71.98,6.58,84.24,beans
60.98,46.88,77.54,26.5,68.28,6.05,76.3,tomato
103.9,40.51,47.56,27.9,78.57,6.17,211.5,rice
80.49,40.71,49.07,20.0,59.85,6.61,85.67,tomato
81.18,37.91,49.83,24.93,90.38,6.54,152.86,rice
96.02,45.18,46.6,25.09,94.33,6.21,218.98,rice
49.52,64.11,35.55,18.63,62.76,7.12,54.85,beans
93.39,42.07,36.82,25.04,88.45,6.58,166.94,rice
78.25,55.58,98.3,14.43,64.7,5.27,84.01,potato
63.43,58.98,77.85,18.05,50.49,6.94,61.08,cabbage
105.44,46.23,37.14,24.62,84.69,5.82,213.65,rice
74.69,37.28,37.05,17.13,51.68,5.81,69.31,maize
101.26,52.18,61.53,13.82,77.09,6.96,62.59,cabbage
87.26,37.04,28.25,24.44,76.48,5.26,213.06,rice
75.8,45.88,62.73,23.21,66.05,6.6,75.49,tomato
77.57,46.19,39.68,28.19,78.72,6.03,218.76,rice
52.58,32.57,46.31,29.2,57.4,7.24,74.21,cotton
115.7,36.81,47.33,29.18,41.52,6.29,61.04,maize
91.34,59.83,112.23,18.48,64.59,6.19,63.94,potato
74.82,61.84,68.51,22.74,65.29,6.29,56.81,tomato
77.52,44.21,41.76,24.95,63.07,6.34,73.48,maize
85.57,53.98,78.46,19.74,78.24,6.39,33.69,cabbage
94.39,45.17,30.25,22.88,64.19,5.74,76.94,maize
95.36,47.29,40.0,23.56,63.07,5.89,41.74,maize
110.39,54.65,62.02,17.35,82.77,6.51,67.94,cabbage
95.97,38.43,32.11,25.24,45.35,6.12,98.93,maize
93.61,34.08,39.93,27.98,87.56,5.89,201.77,rice
77.02,46.33,54.42,18.41,56.08,6.29,92.75,tomato
70.36,57.83,103.98,15.14,81.37,5.26,62.7,potato
83.23,47.69,40.24,27.47,91.63,5.89,205.71,rice
66.69,53.1,94.61,18.19,69.74,5.67,68.59,potato
77.86,55.18,110.02,14.64,76.02,5.79,102.08,potato
95.49,64.02,54.22,23.31,76.83,6.35,41.38,tomato
86.31,59.66,86.97,12.87,76.47,6.35,80.72,potato
47.84,38.21,43.57,28.13,40.27,7.04,48.36,cotton
52.94,64.09,63.65,24.77,62.08,6.42,59.89,tomato
65.91,35.92,40.21,25.06,55.27,6.62,57.74,cotton
119.25,38.23,67.41,17.12,82.42,6.32,60.44,cabbage
90.79,42.15,36.93,26.78,66.85,5.56,95.93,maize
56.71,26.01,42.04,29.6,55.75,6.88,70.68,cotton
84.8,60.72,102.11,15.1,65.52,6.06,58.0,potato
65.63,28.37,50.49,27.92,62.24,8.01,29.54,cotton
80.83,72.53,78.14,16.82,82.8,5.86,64.36,potato
28.12,59.93,50.7,17.05,59.19,5.63,87.08,beans
75.87,55.79,52.47,22.5,56.64,6.07,99.01,tomato
89.98,31.77,37.78,28.87,77.04,6.02,188.15,rice
86.32,23.12,37.73,25.11,88.29,6.53,215.81,rice
64.79,65.81,60.84,19.51,65.82,6.81,81.74,tomato
63.78,71.73,101.94,11.25,70.63,6.43,39.12,potato
95.61,37.53,31.14,20.67,64.43,5.75,88.26,maize
52.25,40.33,63.78,32.55,46.97,6.61,81.57,cotton
84.36,38.5,34.17,29.46,57.72,5.01,64.38,maize
56.03,62.33,33.58,22.43,63.57,5.67,64.23,beans
91.19,52.93,62.81,15.23,55.93,6.83,74.61,cabbage
72.72,60.08,55.1,25.66,66.62,6.4,62.66,tomato
67.89,65.3,56.88,24.12,57.7,6.1,59.12,tomato
86.46,38.58,41.72,30.88,81.08,5.74,223.38,rice
51.59,67.33,49.08,22.52,58.35,5.44,44.47,beans
112.29,51.37,66.58,16.44,66.71,6.94,41.73,cabbage
62.65,65.31,122.1,19.26,60.41,6.13,67.31,potato
66.58,71.39,59.07,27.94,69.93,6.33,68.46,tomato
73.88,44.76,40.63,24.15,71.45,6.33,52.07,tomato
97.58,37.08,35.27,23.43,41.33,6.56,94.98,maize
40.43,54.62,48.6,20.08,84.1,5.69,69.43,beans
86.68,46.84,48.72,23.36,60.99,6.58,66.15,tomato
58.48,59.33,53.63,21.6,80.22,5.87,84.8,beans
79.13,56.28,93.6,21.11,70.2,5.31,75.31,potato
86.36,50.25,50.22,21.9,80.4,5.88,47.78,cabbage
96.75,59.27,97.04,14.14,84.12,5.99,72.1,cabbage
43.75,66.6,39.28,21.52,61.27,6.44,93.14,beans
46.37,49.66,33.87,22.94,71.09,6.26,74.52,beans
68.58,56.26,60.29,26.47,67.72,6.77,49.35,tomato
86.88,39.88,72.57,20.18,84.88,6.17,44.89,cabbage
47.85,29.18,50.74,30.05,67.98,6.93,54.27,cotton
100.02,42.08,24.92,29.13,78.25,5.44,151.53,rice
33.92,56.65,40.47,15.84,52.99,5.82,91.8,beans
30.56,69.46,40.07,23.57,64.29,5.53,68.45,beans
47.48,62.15,60.63,22.67,84.56,6.24,71.3,tomato
90.97,46.3,92.07,18.03,90.48,6.37,61.29,cabbage
107.7,48.07,35.13,31.13,80.48,5.41,188.84,rice
87.13,54.48,98.03,26.18,49.87,5.6,55.65,potato
114.28,38.76,70.95,12.78,76.01,7.26,55.07,cabbage
73.14,54.59,62.79,27.85,55.07,6.92,61.76,tomato
88.27,63.15,93.08,14.51,86.25,5.53,91.65,potato
69.43,58.13,48.28,24.85,74.06,6.23,62.04,tomato
75.59,63.47,55.69,21.76,68.64,6.84,42.88,tomato
83.59,51.54,89.76,14.25,64.22,6.74,49.76,potato
29.39,64.45,34.71,17.81,64.05,5.45,95.49,beans
45.2,56.72,42.55,17.21,68.0,6.24,80.71,beans
84.7,67.97,97.07,14.65,67.64,5.44,65.78,potato
95.44,50.91,69.72,15.4,77.95,6.23,58.8,cabbage
65.21,56.62,68.31,27.11,58.13,6.79,77.86,tomato
104.32,36.08,37.24,29.21,84.83,5.97,180.46,rice
32.03,64.82,52.02,20.09,66.79,6.68,80.59,beans
27.4,69.99,61.77,16.51,68.11,5.77,83.95,beans
35.01,56.96,56.74,24.09,67.26,6.45,83.06,beans
23.89,63.24,38.17,18.25,45.69,5.91,101.99,beans
96.19,59.51,51.92,24.03,70.63,6.24,37.89,cabbage
63.01,26.55,39.06,31.25,44.24,6.07,47.73,cotton
97.13,39.69,35.8,28.96,79.99,5.63,211.12,rice
86.62,41.49,26.98,28.59,85.94,5.98,169.33,rice
63.92,48.12,94.87,13.74,52.97,5.88,57.1,potato
85.0,55.32,84.83,19.53,74.35,5.67,79.54,potato
98.85,39.51,36.0,26.55,74.86,6.77,222.5,rice
57.84,63.8,70.49,24.9,66.81,6.14,60.57,tomato
61.59,49.33,53.52,25.56,46.81,7.25,21.17,cotton
66.9,47.62,53.72,21.13,64.12,6.43,68.73,tomato
37.22,48.72,46.43,21.04,59.41,6.03,91.9,beans
71.67,69.86,111.61,12.59,60.64,6.3,75.03,potato
93.35,53.13,74.07,15.45,55.98,6.7,60.84,cabbage
96.82,53.39,78.68,14.01,64.84,5.85,80.79,potato
87.9,46.91,30.02,26.92,94.19,6.79,229.24,rice
17.78,64.6,47.63,13.36,67.26,5.59,73.08,beans
55.06,58.58,55.19,20.74,64.53,6.22,50.19,tomato
90.63,46.38,71.95,24.36,78.33,6.97,53.58,cabbage
46.46,28.3,54.7,24.0,59.43,6.51,38.87,cotton
79.3,59.94,104.8,18.68,74.09,5.49,68.85,potato
86.16,47.14,49.65,26.25,66.0,5.6,56.96,maize
49.86,58.54,34.02,23.09,65.02,6.91,59.87,beans
78.92,59.3,84.38,17.9,85.1,6.08,55.02,potato
87.4,38.76,55.08,29.92,62.1,6.54,64.17,cotton
63.15,29.97,48.58,23.97,49.65,6.42,54.17,cotton
61.73,55.09,41.08,22.89,53.98,6.4,74.91,tomato
31.4,58.32,49.39,23.4,52.42,6.04,69.89,beans
93.02,47.68,57.14,21.74,65.54,6.21,48.5,cabbage
108.96,42.22,42.6,26.39,82.68,6.1,181.06,rice
60.85,46.34,58.97,25.77,65.95,6.71,79.27,tomato
90.6,45.52,55.93,15.17,74.32,6.44,72.33,cabbage
91.4,33.23,40.72,26.48,64.17,6.08,104.29,maize
63.95,34.68,48.61,24.07,51.91,5.85,36.0,cotton
58.96,40.12,56.2,21.29,51.76,6.56,81.25,tomato
85.14,46.15,27.71,24.17,74.89,6.67,217.53,rice
36.49,37.06,54.0,20.42,75.18,6.59,81.03,beans
71.64,42.04,72.14,27.09,71.05,6.69,79.19,tomato
84.7,60.47,75.55,20.37,71.08,5.91,81.8,cabbage
76.47,55.31,42.96,24.33,64.38,5.97,46.61,tomato
86.29,44.67,29.0,28.43,63.42,6.83,119.02,maize
93.47,48.32,28.29,26.35,48.14,6.75,65.55,maize
75.65,34.78,43.77,27.21,57.26,5.57,99.42,maize
89.8,48.2,29.05,27.57,61.62,6.33,104.14,maize
83.85,46.76,40.25,26.59,56.23,6.24,95.24,maize
75.25,46.04,48.61,19.77,71.59,6.32,76.26,tomato
66.1,37.02,33.27,17.36,68.03,6.77,67.89,tomato
93.83,55.67,63.37,24.01,72.89,6.93,42.84,tomato
